comment_text,sentiment_category,date,source
ﺷﻔﺖ ﻧﺎﺱ ﻛﺎﻣﻞ ﺗﻬﺪﺭ ﻋﻠﻰ ﻛﻠﻴﺒﻚ ﻓﻴﻪ ﺍﻟﺠﻨﺲ ﻭﺍﻏﺮﺍﺀ ﺗﻔﺮﺟﺖ ﻋﻠﻴﻚ ﺿﺮﻙ ﻋﺠﺒﻨﻲ ﺑﺰﺍﺍﺍﺍﻑ ﺻﻮﺕ ﺭﻭﻭﻭﻋﺔ ﻭﺗﻤﺜﻴﻴﻴﻞ ﺍﻛﺜﺮ ﻣﻦ ﺭﺍﺋﻊ ﻭﻳﻦ ﺗﺸﻮﻓﻮ ﻓﻴﻪ ﺍﻟﺠﻨﺲ ؟؟ ﺑﺮﺍﻓﻮ ﻭﺍﺻﻠﻲ ﻓﺎﻧﺰ ﻣﻦ ﺍﻟﺠﺰﺍﺋﺮ,1,date= 2017-11-06T21:11:00.000Z,Youtube videoId=cguZzv_aAfk
ﺍﺫﻫﺐ ﺍﻟﻰ ﺍﻟﺠﺤﻴﻢ ، ﺧﺴﺎﺭﻩ vu ﺍﻟﻠﻲ ﺗﺰﺍﺩﺩﻟﻚ ﻣﻦ ﺟﺮﺗﻲ,0,date= 2017-11-05T10:22:42.000Z,Youtube videoId=cguZzv_aAfk
Mala clip ya lella Aycha cava fi mokhek,0,date= 2017-11-04T13:44:58.000Z,Youtube videoId=cguZzv_aAfk
Non,,date= 2017-11-04T13:44:03.000Z,Youtube videoId=cguZzv_aAfk
klmt lghnyaa yseer hlowa ❤❤,1,date= 2017-11-03T23:30:19.000Z,Youtube videoId=cguZzv_aAfk
mela 7ela,0,date= 2017-11-03T16:58:03.000Z,Youtube videoId=cguZzv_aAfk
behi sujet tayara,1,date= 2017-11-02T19:46:35.000Z,Youtube videoId=cguZzv_aAfk
ﻳﺎﺧﻲ ﻣﺶ ﻛﺎﻳﺎﻧﻮ ﺳﺘﻴﻔﻦ ﻫﻮﻛﻴﻨﻎ ﻓﻲ ﺍﻟﻜﺮﻭﺻﺔ ؟,0,date= 2017-11-01T13:14:05.000Z,Youtube videoId=cguZzv_aAfk
ﻋﻼﻩ ﺑﻼﺵ . ﺍﺷﺒﻴﻨﺎ ﻧﺤﻨﺎ ﻧﺎﻗﺼﻴﻦ ﻣﻔﻬﺎ ﺑﺎﺱ ﻛﺎﻥ ﺗﻜﻮﻥ ﻛﻴﻔﻨﺎ,0,date= 2017-10-30T07:50:42.000Z,Youtube videoId=BDTx2tvGd-s
<3,1,date= 2017-10-28T09:07:55.000Z,Youtube videoId=cWIvXwHHxr8
Une vrai prostituée tunisienne. Elle doit prendre exemple sur sa mère qui l'a eu en faisant la p.... HONTE à toi pauvre poubelle visuelle !,0,date= 2017-10-23T01:10:25.000Z,Youtube videoId=cguZzv_aAfk
7ala 7lilaa we bara ala yosterha,0,date= 2017-10-17T00:38:11.000Z,Youtube videoId=cguZzv_aAfk
mnine tal3o  hale jarathime ala la tbareklek ya fehri  lamite lek7abe kole  te5dem bihome we tkawi  fi 9o7bhom besme faneee,0,date= 2017-10-17T00:31:21.000Z,Youtube videoId=6OTiAZhBsHY
Mafmech ma amsset mnnk,0,date= 2017-10-14T01:33:26.000Z,Youtube videoId=BDTx2tvGd-s
hani 9a3d nik f 5arta 3al kli^p,0,date= 2017-10-10T16:24:23.000Z,Youtube videoId=cguZzv_aAfk
ﻛﻨﺖ ﻧﺤﺒﻮ ﺑﺼﺢ ﻛﻲ ﺷﻔﺘﻮ ﻫﺬﺍ ﺍﻛﻠﻴﺐ ﻛﺮﻫﺘﻮ,0,date= 2017-10-10T13:09:56.000Z,Youtube videoId=cguZzv_aAfk
ﻣﻼ ﺣﺎﻟﻪ,0,date= 2017-10-10T12:42:56.000Z,Youtube videoId=BDTx2tvGd-s
Tayara aychoucha,1,date= 2017-10-07T08:38:30.000Z,Youtube videoId=cguZzv_aAfk
ﻳﺎ ﻭﻳﻠﻚ ﻣﻦ ﺭﺑﻲ ﻛﻴﻔﺎﺵ ﺑﺎﺵ ﺗﻘﺎﺑﻠﻴﻪ ﻛﻲ ﺗﻤﻮﺗﻲ ﻫﺬﺍ ﻓﻠﻢ ﺍﺑﺎﺣﻲ ﻣﻬﻮﺵ ﻛﻠﻴﺐ,0,date= 2017-10-04T07:47:33.000Z,Youtube videoId=cguZzv_aAfk
bravo aicha 😘😍😘😍😘,1,date= 2017-10-02T17:35:39.000Z,Youtube videoId=cguZzv_aAfk
"te3rfo 3lécch el fan hedha mayanja7ch f tounes , car 7ne 10 mlayén mkaraz , nasm3o ken é rap , hal 9o7b ta3 el a7zén yemchich m3a zboubna",0,date= 2017-10-02T13:32:00.000Z,Youtube videoId=cguZzv_aAfk
ﻛﻠﻴﺐ ﺭﻭﻋﺔ,1,date= 2017-10-02T12:04:59.000Z,Youtube videoId=cguZzv_aAfk
ﻳﺎ ﻋﺎﻳﺸﺔ ﺑﺮﻏﻢ ﺍﻧﺎ ﻣﺎ ﻧﺤﻤﻠﻜﺶ ﺍﻣﺎ ﻏﻨﺎﻳﺘﻚ ﻫﺎﺫﻱ ﺗﻤﺴﻨﻲ ﻓﻲ ﺍﻟﺼﻠﻴﻢ ﻭ ﺍﺍﻟﻐﻨﺎﻳﺔ ﻋﺎﻣﻠﺔ ﻣﻠﻴﻮﻥ ﻭﻧﺺ vu ﻧﺤﺐ ﻧﻘﻠﻚ ﺍﻟﻠﻲ ﺍﻧﺎ ﻣﻠﻴﻮﻥ ﻣﺸﺎﻫﺪﺓ ﻋﻤﻠﺖ ﻳﻤﻜﻦ,1,date= 2017-10-02T00:05:43.000Z,Youtube videoId=cguZzv_aAfk
ﺭﻭﻋﺔ.  ﺭﻭﻋﺔ,1,date= 2017-10-01T22:14:42.000Z,Youtube videoId=cguZzv_aAfk
ﻏﻨﺎﻳﺔ ﻃﻴﺎﺭﺓ ﻭ ﺻﻮﺗﻚ ﺣﻠﻮ ﻭ ﺍﻟﻜﻠﻴﺐ ﺯﺍﺩﺓ ﺧﺪﻣﺘﻮ ﺧﺪﻣﺔ ﺃﻣﺎ ﻳﺎﺳﺮ osé ﻭ ﻣﺎ ﻳﺨﺮﺟﺶ ﻋﻠﻴﻚ ﺍﻟﺸﻲﺀ ﻫﺬﺍ، ﺍﻟﻌﺮﻯ ﺑﺮﺷﺎ ﻳﺠﻴﺐ ﻟﻤﻮﻻﺗﻮ ﻛﺎﻥ ﺍﻟﺬﻝ... en tout cas ﺗﻜﻮﻧﻠﻚ ﻋﺒﺮﺓ ﻭ ﻋﻤﻠﺖ une expérience inoubliable ﺭﺑﻲ ﻣﻌﺎﻙ,1,date= 2017-10-01T14:48:49.000Z,Youtube videoId=cguZzv_aAfk
Bravooo aycha wasliii,1,date= 2017-10-01T13:30:47.000Z,Youtube videoId=QtSCbLZWk0c
ﺭﺑﻲ ﺑﺶ ﻳﺤﺎﺳﺒﻬﺎ ﻣﺶ ﺍﻧﺘﻢ ﻭ ﻟﻲ ﻣﺶ ﻋﺎﺟﺒﻮ ﻣﻴﺘﻔﺮﺟﺶ,1,date= 2017-10-01T12:54:25.000Z,Youtube videoId=cguZzv_aAfk
bravoooo aichoucha wasel w me yhemek fi 7ed wallah blastek mouch fi tunis 5sara,1,date= 2017-10-01T12:12:18.000Z,Youtube videoId=cguZzv_aAfk
ﻛﻴﻒ ﺭﺑﻲ ﻋﺎﻃﻴﻚ ﺍﻹﻣﻜﺎﻧﻴﺎﺕ ﻫﺎﺫﻱ ﺍﻟﻜﻞ ﻟﻮﺍﺵ ﺍﻹﺛﺎﺭﺓ ﻓﻲ ﻣﺠﺘﻤﻊ ﻣﺎ ﻳﻘﺒﻠﺶ ﺍﻹﺛﺎﺭﺓ  ﺗﻘﺪﺭ ﺗﻌﻤﻞ ﻋﻤﻞ ﺑﺎﻫﻲ ﻭ ﻣﺤﺘﺮﻭ ﻭ ﺗﻨﺠﺢ 100 ﺑﺎﻝ 100,0,date= 2017-10-01T10:11:37.000Z,Youtube videoId=cguZzv_aAfk
Ken alla l clip Nancy rakom ferhanin à ma madem amletou tunisya twali biha w 3liha fi9o chwaya matnjmouch tchuufu 8irkom metheni f 7yetou lezem tnakdo alih hkk tw tuuufla jrayer tanbirkom 5asret 3ardh mayt3awedhch rabi yhdikom johel,1,date= 2017-10-01T08:15:23.000Z,Youtube videoId=cguZzv_aAfk
bravo aihoucha ou chtar e dislikes men 3and la3ab n7eb n9olkom na7na n3icho haka eli ken ma3jbekech haka matetfarejech na7na twensa ou n7eboha,1,date= 2017-09-30T21:36:36.000Z,Youtube videoId=cguZzv_aAfk
ﺳﻼﻡ ﻣﻊ ﺯﻳﻨﻮ ﻣﻦ ﺍﻟﺠﺰﺍﺋﺮ ﻋﺎﺋﺸﻪ ﺑﺮﺍﻑ ﺭﺑﻲ ﻳﻮﻓﻘﻚ ﻣﻲ ﻟﺰﻡ ﺗﺒﻌﺪﻱ ﻋﻠﻲ ﻟﺤﻮﺍﻳﺞ ﻟﻲ ﺧﻠﻴﻮ ﻧﺎﺱ ﻭﻳﻮﻟﻮ ﻳﺤﻜﻴﻮ ﻋﻠﻴﻚ ﺑﺴﻮﺀ ﺭﺑﻲ ﻳﻮﻓﻘﻚ,1,date= 2017-09-20T20:37:30.000Z,Youtube videoId=cguZzv_aAfk
ﻟﻲ ﻓﻬﻢ ﺣﺎﺟﺔ ﻳﻔﻬﻤﻨﻲ,0,date= 2017-09-20T13:47:24.000Z,Youtube videoId=cguZzv_aAfk
ﺭﺍﻛﻲ ﻫﺮﺩﺗﻴﻬﺎ ﻭﻃﺮﺏڨﺗﻴﻬﺎ ﻳﺎ ﺍﻝ....,0,date= 2017-09-15T16:29:46.000Z,Youtube videoId=cguZzv_aAfk
MASTA,0,date= 2017-09-14T21:40:21.000Z,Youtube videoId=Ld6yXk6kDV0
ﺃﻧﺎ ﺗﻮﻧﺴﻴﺔ  ﻭ ﻫﺎﺫﻱ ﻣﺘﻤﺜﻠﻨﻴﺸﺸﺶ,0,date= 2017-09-11T13:55:03.000Z,Youtube videoId=cguZzv_aAfk
ﻣﺤﻼﻙ :*,1,date= 2017-09-05T21:15:49.000Z,Youtube videoId=Kvk_GEwOJ2c
taw hetha clip yalli ma te7echmich moustawayet mon7atta,0,date= 2017-09-05T14:16:31.000Z,Youtube videoId=cguZzv_aAfk
ﺍﻧﺎ ﻧﺤﺒﻚ ﻋﺎﺋﺸﺔ ﻭ ﺃﻧﺎ ﺍﺳﻤﻲ ﻋﺎﺋﺸﺔ,1,date= 2017-09-03T23:15:51.000Z,Youtube videoId=BDTx2tvGd-s
ﺭﺑﻲ ﻳﻬﺪﻳﻚ,0,date= 2017-08-31T13:07:04.000Z,Youtube videoId=cguZzv_aAfk
Tfaded borjoulia w msad9a rou7a mezyina,0,date= 2017-08-29T20:52:18.000Z,Youtube videoId=cWIvXwHHxr8
Oooof mamsetha la 3ala9a wallah,0,date= 2017-08-29T20:50:34.000Z,Youtube videoId=cWIvXwHHxr8
J adors😍,1,date= 2017-08-27T14:30:42.000Z,Youtube videoId=Kvk_GEwOJ2c
ﻣﺎﻫﻴﺶ ﻫﺬﻱ ﺍﻟﻤﺮﺍ ﺗﻮﻧﺴﻴﺔ ﻣﺎ ﺗﻤﺜﻠﻨﻴﺶ ﻳﺎﺳﺮ ﻟﻌﺒﺘﻬﺎ ﺩﺭﺍﻣﺎ ﻣﻮﺵ ﻓﻲ ﺑﻼﺻﺘﻬﺎ ﺑﺨﻼﻑ ﺍﻟﻌﺮﺍﺍ ﻭ ﺯﻳﺪ ﻡ ﻋﻨﺪﻛﺶ ﺻﻮﺕ ﻟﻲ ﻳﺤﻚ ﺭﺍﺳﻮ ﻳﻮﻟﻲ ﻓﻨﺎﻥ,0,date= 2017-08-24T16:33:41.000Z,Youtube videoId=cguZzv_aAfk
ﻗﺤﺒﺔ,0,date= 2017-08-24T05:19:48.000Z,Youtube videoId=cguZzv_aAfk
👎👎👎👎👎,0,date= 2017-08-21T08:44:43.000Z,Youtube videoId=cguZzv_aAfk
Bravoo aychouchaa,1,date= 2017-08-17T23:02:08.000Z,Youtube videoId=cguZzv_aAfk
mala klip,0,date= 2017-08-16T14:10:23.000Z,Youtube videoId=cguZzv_aAfk
love you Aïcha 💓,1,date= 2017-08-09T03:43:46.000Z,Youtube videoId=6OTiAZhBsHY
love you Aïcha 💓,1,date= 2017-08-09T03:43:25.000Z,Youtube videoId=Ld6yXk6kDV0
ﻣﻦ ﺃﺟﻤﻞ ﺍﻟﻤﺨﻠﻮﻗﺎﺕ ﻟﻲ ﺷﻔﺘﻬﺎ 😍😍😍😍,1,date= 2017-08-02T02:31:28.000Z,Youtube videoId=cguZzv_aAfk
ﺍﺣﻼ ﻋﺎﺋﺸﻪ,1,date= 2017-08-01T15:18:15.000Z,Youtube videoId=BDTx2tvGd-s
ﺷﺮﻣﻮﻃﻪ ﺧﻄﻴﺮﻩ  ﻛﻠﻴﺐ ﺻﺎﺩﻡ. ﺍﺑﻦ ﺍﻟﻤﺠﻈﻮﻅ,0,date= 2017-07-29T23:51:32.000Z,Youtube videoId=cguZzv_aAfk
ﺑﺮﺍﻓﻮ,1,date= 2017-07-19T08:17:48.000Z,Youtube videoId=cguZzv_aAfk
ﺍﻟﭭﻴﺪﻳﻮ ﻛﻠﻴﺐ ﺭﺍﺋﻊ,1,date= 2017-07-18T14:23:27.000Z,Youtube videoId=cguZzv_aAfk
ﺭﻭﺣﻲ ﻧﻴﻜﻲ ﻣﻚ ﻳﺎ ﺣﻤﺎﺭﺓ ﺭﻭﺣﻲ ﺻﻠﻲ ﻋﻠﻰ ﺭﻭﺣﻚ ﺣﻤﺎﺭﺓ ﺣﻴﻮﺍﻧﺎ ﻓﺮﺧﺔ ﻋﺎﻫﺮﺓ ﺳﺎﻓﻠﺔ,0,date= 2017-07-17T18:21:35.000Z,Youtube videoId=cguZzv_aAfk
ﺗﺤﻴﺎﺗﻲ ﻟﺘﻮﺍﻧﺴﺔ ﻣﻦ ﺍﻟﺠﺰﺍﺋﺮ ﻭﻟﻜﻦ ﻫﺎﺩﻱ ﻣﺸﻲ ﺗﻮﻧﺴﻴﺔ ﻫﺎﺩﻱ ﻋﺎﻫﺮﺓ ﺑﻤﻌﻨﻰ ﺍﻟﻜﻠﻤﺔ,0,date= 2017-07-16T10:52:54.000Z,Youtube videoId=cguZzv_aAfk
ﻛﻢ ﺃﻥ ﻫﺬﺍ ﻏﺒﻲ ﻭ ﻣﺮﻳﺾ ﻭ ﺳﺎﺫﺝ,0,date= 2017-07-15T14:43:06.000Z,Youtube videoId=cguZzv_aAfk
ﺍﻧﺖ ﻣﺰﻳﺎﻧﺔ ﺗﺒﺎﺭﻙ ﷲ ،ﻋﻨﺪﻙ ﻣﻮﻫﺒﺔ ﺣﺎﻭﻝ ﺗﺴﺘﻐﻠﻬﺎ ﻛﻴﻒ ﻣﺎ ﻳﻠﺰﻡ ،ﻣﺎ ﺗﺘﺠﺎﻭﺯﺵ ﺣﺪﻭﺩﻙ،ﻋﻨﺎ ﺍﺧﻼﻗﻴﺎﺗﻨﺎ ،ﻧﺒﻘﻮ ﺩﻭﻟﺔ ﻋﺮﺑﻴﻪ ﻣﺴﻠﻤﺔ ،ﺍﻟﻜﻠﻴﺐ ﺑﺎﻫﻲ ﻏﻴﺮ ﻛﺜﺮﺕ ﻣﻞ ﺍﻻﻏﺮﺍﺀ،ﺭﺑﻲ ﻳﻮﻓﻘﻚ ،ﻭ ﺣﺎﻭﻝ ﺗﺤﺴﻦ ﺩﻳﻤﺎ ﻣﻦ ﺭﻭﺣﻚ ﻭ ﺍﺭﺗﻘﻲ ﺑﻤﺴﺘﻮﻯ ﺍﻟﻔﻦ,0,date= 2017-07-15T12:45:35.000Z,Youtube videoId=cguZzv_aAfk
ﺻﻮﺗﻬﺎ ﻛﺎﺭﺛﻪ ﻭﻣﻌﺎﻫﺎ ﻛﻠﺐ ﺍﺳﻮﺩ ﺷﻴﻄﺎﻥ ﺍﺳﺘﻐﻔﺮ ﷲ,0,date= 2017-07-14T21:17:58.000Z,Youtube videoId=BDTx2tvGd-s
bravo aicha tout est beau,1,date= 2017-07-10T17:12:07.000Z,Youtube videoId=cguZzv_aAfk
nhar ekherr esh bsh tquul lrabyy blh,0,date= 2017-07-06T12:53:39.000Z,Youtube videoId=cguZzv_aAfk
esh nakraaaaha lHaaam pffff,0,date= 2017-07-06T10:00:15.000Z,Youtube videoId=cguZzv_aAfk
ﺃﻏﻨﻴﻪ. ﻓﻰ ﺍﻟﻘﻤﻪ ﻭ ﻟﻜﻦ ﻛﺎﻥ ﻳﺠﺐ. ﻣﺮﺍﻋﺎﺕ ﺍﻟﺠﺎﻧﺐ ﺍﻻﺧﻼﻗﻰ ﻗﻠﻴﻼ. ﻻ ﺩﺍﻋﻰ. ﻟﻠﻌﺮﻱ,0,date= 2017-06-30T21:36:53.000Z,Youtube videoId=cguZzv_aAfk
masta barcha,0,date= 2017-06-19T20:40:46.000Z,Youtube videoId=cguZzv_aAfk
masta barcha,0,date= 2017-06-19T20:40:41.000Z,Youtube videoId=cguZzv_aAfk
zerooooooo 👎👎👎,0,date= 2017-06-18T09:41:39.000Z,Youtube videoId=cguZzv_aAfk
ﺯﻓﺘﺔ ﻗﺪﺍﺵ ﻧﻜﺮﻫﻚ,0,date= 2017-06-09T21:44:30.000Z,Youtube videoId=cguZzv_aAfk
Tii yezzy men niifek shih kol wehed hor ama fi heded ma3koula bech yken meslem hedii bled yhbou ken tafahet cha3b tefeh ena netcharefech b 3bed kif hedomo Mala wlh ama fi niheya kol wehed hor ya3mel ech yheb kalou ena aicha t zid t3aref b rouhha haka cha5sya 3ad pff....,0,date= 2017-06-09T20:36:21.000Z,Youtube videoId=cguZzv_aAfk
mastin,0,date= 2017-06-07T22:22:23.000Z,Youtube videoId=6OTiAZhBsHY
imposible normal hethi,0,date= 2017-06-06T10:59:31.000Z,Youtube videoId=cguZzv_aAfk
ﻛﺎﺭﺛﻪ ﻓﻲ ﺍﻟﻤﻮﺳﻴﻘﻰ ﻻ ﺻﻮﺕ ﻭﻻ ﻓﻦ، ﺍﺣﺘﻤﺎﻝ ﺗﻨﺠﺢ ﻓﻲ ﺍﻟﺘﻤﺜﻞ  ﺗﻤﺜﻴﻠﻚ ﺣﻠﻮ ﻭ ﻣﺰﻳﺎﻧﻪ ﺗﺒﺎﺭﻙ ﷲ  ، ﺣﺎﻭﻝ ﺗﻮﺿﻒ ﻣﻮﻫﺒﺘﻚ ﺑﻄﺮﻳﻘﺔ ﺗﺤﺘﺮﻣﻚ ﺑﻴﻬﺎ ﺍﻟﻨﺎﺱ ﻣﻮﺵ ﻳﺴﺒﻮﻙ ﻭ ﻳﻠﻌﻨﻮﻥ ،ﺍﺣﺘﺮﻡ ﺍﻋﻤﺎﻟﻚ ﺑﺶ ﻳﺤﺘﺮﻣﻚ ﺍﻟﺠﻤﻬﻮﺭ، ﻗﺎﺩﺭﻩ ﻋﻠﻰ ﻣﺎ ﺍﺣﺴﻦ ﺑﺎﻟﺘﻮﻓﻴﻖ,0,date= 2017-06-05T07:47:04.000Z,Youtube videoId=cguZzv_aAfk
ﻫﺬﺍ ﻓﻴﻠﻢ ﺍﺑﺎﺣﻲ 😡😡😡,0,date= 2017-06-04T13:05:23.000Z,Youtube videoId=cguZzv_aAfk
Top,1,date= 2017-05-25T15:42:34.000Z,Youtube videoId=cguZzv_aAfk
ﺣﻠﻮﺓ ﺍﻟﻐﻨﻴﺔ ﺃﻛﺜﻴﺮ 2017,1,date= 2017-05-24T07:04:09.000Z,Youtube videoId=cguZzv_aAfk
i like u 😢,1,date= 2017-05-23T15:20:34.000Z,Youtube videoId=BDTx2tvGd-s
ﺻﻌﺒﺔ ﺍﻭﻯ ﺍﻏﻨﻴﺔ ﺗﻘﻄﻊ ﺍﻟﻘﻠﺐ,1,date= 2017-05-21T14:27:13.000Z,Youtube videoId=cguZzv_aAfk
9AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAHBA,0,date= 2017-05-21T14:11:49.000Z,Youtube videoId=Kvk_GEwOJ2c
"ﺍﻟﻘﺼﺔ ﺣﻠﻮﺓ ﻭ ﻣﺆﺛﺮﺓ ﺃﻣﺎ ﺍﻧﺖ ﻓﻲ ﺍﻟﺤﻘﻴﻘﺔ ﻣﻤﺜﻠﺔ ﻭ ﻣﺎ ﻋﺮﻓﺘﺶ ﺗﻤﺜﻞ ﺍﻟﺪﻭﺭ ﺟﻤﻼ ﻗﺎﻋﺪﺓ ﺗﺘﻠﻌﻮﻙ ﻛﻠﻴﺐ ﻛﺎﻣﻞ. ﺍﻟﻠﻲ ﻗﺎﻟﻚ ﻏﻨﻲ ﻭ ﺃﻋﻤﻞ ﻛﻠﻴﺐ ﻳﺎ ﻧﻬﺎﺭﺗﻬﺎ ﻛﺎﻥ ﻣﺰﻃﻮﻝ ﻭﻻ ﺷﺎﺭﺏ. ﻛﻨﺖ ﺗﻨﺠﻢ ﺗﻤﺜﻞ ﺍﻟﺪﻭﺭ ﻭ ﺍﻧﺖ ﺳﺎﺗﺮﺓ ﺭﻭﺣﻚ ﻗﺮﻳﺐ ﻧﻌﺮﻓﻮ ﻟﻮﻥ ... 
ﺻﺪﻗﻨﻲ ﻻﻫﻲ ﻏﻴﺮﺓ ﻻ ﺣﺴﺪ ﺃﻣﺎ ﺻﻮﺗﻚ ﻋﺎﻟﺤﻴﻂ ﺃﻗﻌﺪ ﻣﺜﻞ ﻳﺰﻱ ﻭ ﺍﻗﺒﻞ ﺍﻟﻨﻘﺪ ﺧﺎﻃﺮ ﻫﻮ ﺍﻟﻠﻲ ﺑﺶ ﻳﺨﻠﻴﻚ ﺗﺘﻘﺪﻡ",0,date= 2017-05-21T09:22:40.000Z,Youtube videoId=cguZzv_aAfk
ﻓﻜﺮﺓ ﺭﻭﻋﺔ ﻭﺣﺪﻙ ﻋﺎﻳﺸﺔ,1,date= 2017-05-18T21:17:27.000Z,Youtube videoId=cguZzv_aAfk
