,created_at,sentiment,source,comment_text
"14,Wed Dec 13 14:57:46 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",Mdddrrrrrr أولاد مفيدة "
"15,Wed Dec 13 14:57:55 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"", أولاد مفيدة  محلا"
"16,Wed Dec 13 14:57:57 +0000 2017,with,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",تعلمت المخدرات بسبب مسلسل أولاد مفيدة وتورط ممثل آخر معها"
"17,Wed Dec 13 14:57:58 +0000 2017, not with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",Badr badr😍😍😍😍😍😭🔫 #اولاد_مفيدة"
"18,Wed Dec 13 14:58:13 +0000 2017,with,""<a href=""""http://www.hootsuite.com"""" rel=""""nofollow"""">Hootsuite</a>"",badr tla3 weld si chrif hhh"
"19,Wed Dec 13 14:58:13 +0000 2017,with,""<a href=""""http://www.tweetcaster.com"""" rel=""""nofollow"""">TweetCaster for Android</a>"",TLA3 BADR YA CHA3B AHAHA , MA9WENA ZAH  #اولاد_مفيده"
"20,Wed Dec 13 14:58:16 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",Omgggggggg Badr weld cheriiiif😨😨😨😨😨😨😨😨 omfggggg je le savais 😱#اولاد_مفيدة"
"21,Wed Dec 13 14:58:17 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",بعد أولاد مفيدة نقدمولكم أولاد ليلى ....."
"22,Wed Dec 13 14:58:32 +0000 2017,with,""<a href=""""http://twitter.com/#!/download/ipad"""" rel=""""nofollow"""">Twitter for iPad</a>"",😂😂😂🇹🇳 #اولاد_مفيدة"
"23,Wed Dec 13 14:58:34 +0000 2017,not with,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",أولاد مفيدة ماذا أيها الأبله...؟"
"24,Wed Dec 13 14:58:53 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",المفتي مازال متأثر بمسلسل #أولاد_مفيدة"
"25,Wed Dec 13 14:59:02 +0000 2017,with,""<a href=""""http://tweytaty.com"""" rel=""""nofollow"""">Tweytaty App</a>"",بعد #اولاد_مفيدة حصري #بنات_مفيدة 😍😍"
"26,Wed Dec 13 14:59:03 +0000 2017,neutre,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",شاب يقلد صوت بدر ولد مفيدة"
"27,Wed Dec 13 14:59:04 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",#اولاد_مفيده مكثر لعباد تفرجت فيهم  و من أقوى الإخراجات التونسية"
"28,Wed Dec 13 14:59:17 +0000 2017,with,""<a href=""""http://www.google.com/"""" rel=""""nofollow"""">Google</a>"",#اولاد_مفيده من اسمو تعرف كل شي"
"29,Wed Dec 13 14:59:31 +0000 2017,with,""<a href=""""https://about.twitter.com/products/tweetdeck"""" rel=""""nofollow"""">TweetDeck</a>"",#اولاد_مفيده  سي شريف مات زعمة ههههههعععع"
"30,Wed Dec 13 14:59:33 +0000 2017,neutre,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",اولاد الحرام في مسلسل #اولاد_مفيده أكثر من المصروف الي ناخو فيه 😂"
"31,Wed Dec 13 14:59:42 +0000 2017,not with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",#اولاد_مفيده هذا مستوى الانحلال الأخلاقي الي وصلنالو"
"32,Wed Dec 13 15:00:01 +0000 2017,not with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",#اولاد_مفيده lol ㅋㅋㅋㅋㅋㅋملا تفاهة و كان حتى حاجة باهية ولا تصلح"
"33,Wed Dec 13 15:00:02 +0000 2017,with,""<a href=""""http://tweytaty.com"""" rel=""""nofollow"""">Tweytaty App</a>"",#اولاد_مفيده "
تو هذي نهاية 😒😒
"34,Wed Dec 13 15:00:02 +0000 2017,with,""<a href=""""http://tweytaty.com"""" rel=""""nofollow"""">Tweytaty App</a>"",ملاّ ممثّل .. روعة .. الوحيد اللّي بكاني .. الكلهم تحسّهم  يمثلو كان هو ... BRAVOOO 👏👍👏👍 #اولاد_مفيده "
"35,Wed Dec 13 15:00:02 +0000 2017,with,""<a href=""""https://studio.twitter.com"""" rel=""""nofollow"""">Media Studio</a>"",#اولاد_مفيدة "
في الحلقة الاخيرة باش تطلع مفيدة جاية فالحرام من نوري و الحاجة المفيوزة


"36,Wed Dec 13 15:00:03 +0000 2017,with,""<a href=""""https://about.twitter.com/products/tweetdeck"""" rel=""""nofollow"""">TweetDeck</a>"",و #اولاد_مفيدة خلاص تم امس الحلقة الاخيرة 😨😨فهمونا"
"37,Wed Dec 13 15:00:12 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",#اولاد_مفيده mouche 5aib"
"38,Wed Dec 13 15:00:15 +0000 2017,with,""<a href=""""http://twitter.com/#!/download/ipad"""" rel=""""nofollow"""">Twitter for iPad</a>"",#اولاد_مفيدة   احسن  مسلسل"
"39,Wed Dec 13 15:00:19 +0000 2017,not with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",شبيه التويتر كل #أولاد_مفيدة 😨😨😨 يا معلم شهالشعب المخرتل "
"40,Wed Dec 13 15:00:19 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",#اولاد_مفيده أحلى مسلسل في رمضان بلحق روعة"
"41,Wed Dec 13 15:00:24 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",#أولاد_مفيدة"
هل لهذا المسلسل علاقة ب #الواقع #التونسي و #حقيقة #المجتمع في #تونس ؟
"42,Wed Dec 13 15:00:27 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",#اولاد_مفيده سبحان الله ريتكم كان في الهشتاق هذا و انا في بالي التوانسة ميستعملوش التويتر اصلا "
"43,Wed Dec 13 15:00:39 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",الي ما يتفرجش كيفي في  #اولاد_مفيده يعمل لايك "
"44,Wed Dec 13 15:00:44 +0000 2017, not with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",لم أشاهد مسلسل #اولاد_مفيدة وأفتخر😛"
"45,Wed Dec 13 15:01:00 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",#اولاد_مفيدة"
يا سي سامي ينجم المسلسل يحقق نسب مشاهدة قوية. .ويجيبلك برشة إشهار وفي نفس الوقت يطرح مواضيع تمسنا وتهمنا. .حلاوة الدنيا مثالا 
"46,Wed Dec 13 15:01:00 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",#اولاد_مفيدة  احسن مسلسل تونسي  2017"
"47,Wed Dec 13 15:01:01 +0000 2017,not with,""<a href=""""http://tweytaty.com"""" rel=""""nofollow"""">Tweytaty App</a>"",#اولاد_مفيده"
شكون المخرج باللاهي شفت الحلقة الليلة والإخراج كي الزفت 
"48,Wed Dec 13 15:01:02 +0000 2017,with,""<a href=""""http://tweytaty.com"""" rel=""""nofollow"""">Tweytaty App</a>"",#اولاد_مفيده مسلسل حصل أكثر نسبة مشاهدة حتى برغم كلام الي مش عاجب نبارة هذا دليل الي هما يتفرجو .انا معجبتنيش نهاية متاع بدر مسيكن😢"
"49,Wed Dec 13 15:01:08 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",هذا مسلسل يعملولو هاشتاق"
"50,Wed Dec 13 15:01:08 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",#اولاد_مفيده  مسكين بلال الباجي بعثوه يبحر في آخر حلقة"
"51,Wed Dec 13 15:01:13 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",زعمة الشريف يطلع حي في الجزء الرابع"
"52,Wed Dec 13 15:01:22 +0000 2017,with,""<a href=""""https://mobile.twitter.com"""" rel=""""nofollow"""">Twitter Lite</a>"",#اولاد_مفيده برافو سامي الفهري و برافو لكل الممثلين نجاح 100% ✌✌✌"
"53,Wed Dec 13 15:01:22 +0000 2017,not with,""<a href=""""http://www.google.com/"""" rel=""""nofollow"""">Google</a>"",الحمد الله المسلسل انتهي و مالا راحة منو"
"54,Wed Dec 13 15:01:27 +0000 2017,with,""<a href=""""http://www.google.com/"""" rel=""""nofollow"""">Google</a>"",لقطة عمر يحوس بسليب عمرها ما صارت في تاريخ الدراما التونسية حتي مبس اكشن ما جابتهاش..ما نشوفوهم كان في "
-18
#اولاد_مفيدة
"55,Wed Dec 13 15:01:29 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",La fin MAJET CHAY w mazrouba. "
#Awledmoufida
"56,Wed Dec 13 15:01:52 +0000 2017,with,""<a href=""""http://www.tweetcaster.com"""" rel=""""nofollow"""">TweetCaster for Android</a>"",ظهر كيف القمل يمشي ويفقص ههههه"
"57,Wed Dec 13 15:01:55 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",الليل قريب يوفى و انا لتوى لا فهمت نهاية #اولاد_مفيدة "
"58,Wed Dec 13 15:02:00 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",#اولاد_مفيده😍❤🙏 "
الحمد لله المسلسل عجبكم والناس الكل تتفرج فيه، المحبة ما تتشراش بالفلوس💸😄
"59,Wed Dec 13 15:02:04 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",#اولاد_مفيده"
اول هشتاق في تويتر 😁😂😀لدرجه هذي مسلسل عجبكم
"60,Wed Dec 13 15:02:16 +0000 2017,with,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",#اولاد_مفيده"
"61,Wed Dec 13 15:02:18 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",عجبتكم الحلقة الأخيرة من #أولاد_مفيدة "
"62,Wed Dec 13 15:02:41 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>""#اولاد_مفيدة كالعادة سامي الفهري نهاية  كوجه😣😣"
"63,Wed Dec 13 15:02:57 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",ملخص_مسلسل #اولاد_مفيده "
"64,Wed Dec 13 15:03:10 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",#اولاد_مفيدة حلقة اليوم نار نار يا حبيبي نار "
مش نورمال هذا سامي ،ملا نهاية
"65,Wed Dec 13 15:03:16 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",3 اجزاء مفماش شخصية في #اولاد_مفيدة كانت نهايتها سعيدة"
"66,Wed Dec 13 15:03:21 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",#اولاد_مفيدة بدر😳😳😭 اعلاه يا سامي الا بدر ما تصورتش يقتل"
"67,Wed Dec 13 15:03:24 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",لازم يوفاها بالموت 😭😭😭😭"
#اولاد_مفيدة
"68,Wed Dec 13 15:03:32 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",بموت من الدموع نهاية محزنة 😭😭😭😭"
#اولاد_مفيدة
"69,Wed Dec 13 15:03:41 +0000 2017,with,""<a href=""""https://ifttt.com"""" rel=""""nofollow"""">IFTTT</a>"","
"70,Wed Dec 13 15:03:45 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",راح نعطي لبدر فرصة ونقول بلي راهو يتخيل مانظنش عملها 😨😨 #اولاد_مفيدة"
"71,Wed Dec 13 15:03:51 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",و انتهت ملحمة #اولاد_مفيدة 😁"
يتولاك ربي يا سامي الفهري
"72,Wed Dec 13 15:03:56 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",بدر 😭💔  #اولاد_مفيدة"
"73,Wed Dec 13 15:04:03 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",شريف مات 😳 #اولاد_مفيدة"
"74,Wed Dec 13 15:04:05 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",نفسيتي تعبت من المسلسل هذا #اولاد_مفيدة"
"75,Wed Dec 13 15:04:11 +0000 2017,with,""<a href=""""http://www.elsakher.com/"""" rel=""""nofollow"""">Elsakher-الساخر</a>"",جاب ربي سليب أكحل و عاطينا بظهرو 😂😂😂 #اولاد_مفيدة"
"76,Wed Dec 13 15:04:24 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",#اولاد_مفيدة زايد متحشمشي يا سامي اما لحد الان الحلقة حلوة"
"77,Wed Dec 13 15:04:44 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",لا و اللي يعجبك هو هبط من الكرهبة و بابا دخل #اولاد_مفيدة  حظ منيل 😂😂"
"78,Wed Dec 13 15:04:50 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",اهااااااه وصلنا للملابس الداخلية #اولاد_مفيدة"
"79,Wed Dec 13 15:04:51 +0000 2017,with,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",ظاهرلي بيرم بش يقتلوه #اولاد_مفيدة"
"80,Wed Dec 13 15:04:55 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",هو خويا الصغير اما كما ولدي احسن حاجه في المسلسل علاقة الاخوة لبين #اولاد_مفيدة"
"81,Wed Dec 13 15:05:00 +0000 2017,with,""<a href=""""http://twitter.com/#!/download/ipad"""" rel=""""nofollow"""">Twitter for iPad</a>"",اولاد_مفيدة 🖤"
"82,Wed Dec 13 15:05:07 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",#اولاد_مفيدة اخر حلقة 😢"
"83,Wed Dec 13 15:05:18 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",سيكون اليوم الجمعة 9 جوان  موعد الحلقة الاخيرة من مسلسل #أولاد_مفيدة الذي ينتظر أن تكون نهايته قاسية جدا"
"84,Wed Dec 13 15:05:24 +0000 2017,not with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",احسن حاجة وانا نتفرج على #اولاد_مفيدة  pub"
"85,Wed Dec 13 15:05:24 +0000 2017,not with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",#أولاد_مفيدة هو الإسم العائلي متاع المسلسل أما اسمو الحقيقي هو أولاد القـ***"
"86,Wed Dec 13 15:05:37 +0000 2017,with,""<a href=""""http://www.elsakher.com/"""" rel=""""nofollow"""">Elsakher-الساخر</a>"",ايا بوسة بوسة بوسة 😂😂😂 #اولاد_مفيدة"
"87,Wed Dec 13 15:05:45 +0000 2017,not with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",في مسلسل #اولاد_مفيدة  الفارينة بزايد 😷😖"
"88,Wed Dec 13 15:05:48 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",نضال السعدي مبدع مبدع مبدع 👏👏👏👏"
#أولاد_مفيدة
"89,Wed Dec 13 15:05:50 +0000 2017,with,""<a href=""""http://tapbots.com/tweetbot"""" rel=""""nofollow"""">Tweetbot for iΟS</a>"",#اولاد_مفيده مسلسل تونسي رائع ومن اجمل ما تابعت في رمضان تحيه ل#سامي_الفهري و اغنيه الجينيريك هايله مع #بلطي 👏👏👏"
"90,Wed Dec 13 15:05:55 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",معناها مفيدة تونس كاملة سمعت بيها جابت ولد في الحرام من سي الشريف"
وكيف عرست بيه خبات عالعباد الكل 😁
#أولاد_مفيدة
"91,Wed Dec 13 15:06:07 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",#الحوار_التونسي و #أولاد_مفيدة في صدارة ترتيب المشاهدة"
"92,Wed Dec 13 15:06:11 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",مفيدة 😂😂"
#اولاد_مفيدة
"93,Wed Dec 13 15:06:16 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",منيش مصدقة والله طلعت بنتو وطلع خوهاا😭 #اولاد_مفيدة"
"94,Wed Dec 13 15:06:31 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",الحاصيلو الشعب التونسي الكل طلع نيتو خامجة "
تي هاي طلعت بنتو و اخت ولدو من العتروس 😂😂😂😂
#اولاد_مفيدة 
مخرج قوي برافو
"95,Wed Dec 13 15:06:32 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",دليلة مفتاحي 😂❤"
#اولاد_مفيدة
"96,Wed Dec 13 15:06:34 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",ملا دليلة المفتاحي و ملا عرعور 😂😂😂😂"
#اولاد_مفيدة
#قضية_مجتمع
"97,Wed Dec 13 15:06:37 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",#أولاد_زعرة ماتوا و #أولاد_مفيدة أحياء ."
"98,Wed Dec 13 15:06:51 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",بسام الحمراوي واتاتو الدراما 😅👏"
#أولاد_مفيدة
"99,Wed Dec 13 15:06:51 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",#اولاد_مفيدة 😍😍😍"
"100,Wed Dec 13 15:06:55 +0000 2017,with,""<a href=""""http://publicize.wp.com/"""" rel=""""nofollow"""">WordPress.com</a>"",#اولاد_مفيدة أخخ منك يا مفيدة 😂😂 "
"101,Wed Dec 13 15:06:57 +0000 2017,with,""<a href=""""http://publicize.wp.com/"""" rel=""""nofollow"""">WordPress.com</a>"",ناجي ناجح ممثل كبييييير برشا 👍👏"
#أولاد_مفيدة
"102,Wed Dec 13 15:07:05 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",يحرق أعصابك يا سامي الفهري 😥"
#اولاد_مفيدة
"103,Wed Dec 13 15:07:10 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",#أولاد_مفيدة😁 وطبعا #حلاوة_الدنيا"
"104,Wed Dec 13 15:07:13 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",كي يتفرجو في #أولاد_مفيدة : ياااااااا محلاهم ياسر يفتقو 😍"
"105,Wed Dec 13 15:07:18 +0000 2017,with,""<a href=""""http://publicize.wp.com/"""" rel=""""nofollow"""">WordPress.com</a>"",بصراحة مسلسل من الاخر سامي الفهري أبدع "
#اولاد_مفيدة
"106,Wed Dec 13 15:07:19 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",الحمد لله #اولاد_مفيدة يتزامن مع صلاة التراويح باش بابا ميمرجناش 😂😂"
"107,Wed Dec 13 15:07:26 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",لطيفة 😂😂😂😂"
#اولاد_مفيدة
"108,Wed Dec 13 15:07:29 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",#أولاد_مفيدة فين ما كان شي مشكل يطيح على راس مفيدة"
"109,Wed Dec 13 15:07:33 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",#أولاد_مفيده"
بدر
"110,Wed Dec 13 15:07:33 +0000 2017,not with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",#اولاد_مفيدة"
ربي يرحمو 🌹
"111,Wed Dec 13 15:07:36 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",حان وقت الأكشن 😎"
#أولاد_مفيدة
"112,Wed Dec 13 15:07:39 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",سامي الفهري كابوووووو 😍"
#أولاد_مفيدة
"113,Wed Dec 13 15:07:43 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",الأداء كالعادة هو الحلقة الأقوى 😍😍😍😍"
#اولاد_مفيدة
"114,Wed Dec 13 15:07:54 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",الأن مسلسل #أولاد_مفيدة ❤👍"
شكون يتفرج
"115,Wed Dec 13 15:08:07 +0000 2017,not with,""<a href=""""http://www.elsakher.com/"""" rel=""""nofollow"""">Elsakher-الساخر</a>"",قال لها: هل تعرفين #أولاد_مفيدة ؟؟"
قتلو: #شكون هاذم! :/ :/
فتزوجها على #سنة_الله_و_رسوله <3
"116,Wed Dec 13 15:08:10 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",#أولاد_مفيدة والنهاية الصادمة"
"117,Wed Dec 13 15:08:13 +0000 2017,with,""<a href=""""http://twitter.com/download/android"""" rel=""""nofollow"""">Twitter for Android</a>"",سامي الفهري أفكارو تشل 😩"
#أولاد_مفيدة الحلقة الأخيرة
"118,Wed Dec 13 15:08:22 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",ما ضاهرلي كان مزال طفلة تخمم تخون صاحبها بعد مااتفرجت في #أولاد_مفيده ههههه 😂"
"119,Wed Dec 13 15:08:23 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",#اولاد_مفيدة الليلة برشا دراما 💔"
"120,Wed Dec 13 15:08:23 +0000 2017,with,""<a href=""""http://twitter.com/download/iphone"""" rel=""""nofollow"""">Twitter for iPhone</a>"",ليليا 😭😭😭😭😭😭 #أولاد_مفيده"
"121,Wed Dec 13 15:08:38 +0000 2017,with,""<a href=""""http://twitter.com"""" rel=""""nofollow"""">Twitter Web Client</a>"",Ommmgg 😱😱😰"
#اولاد_مفيده
