row,created_at,sentiment,source_url,comment_text
10,Wed Dec 13 15:09:35 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Fin pourri 👎 dommage il méritait pas d'être tué par son fils , quel horreur, dégouté de la fin 😩😩😩
11,Wed Dec 13 15:09:42 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>", Nihayte masta barcha
12,Wed Dec 13 15:09:43 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Jito fle5er o da5altaha fi 7et
13,Wed Dec 13 15:09:46 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",عروااا النساء خلي الرجااال ربي يستر و اجعل خيرااا بما هو قااادم 😂😂😂
14,Wed Dec 13 15:09:54 +0000 2017,with not,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>", kolhom 97ab 
15,Wed Dec 13 15:09:59 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Bayrem toht min 3ayni
16,Wed Dec 13 15:10:06 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Adi rjél wach ydirou.LS hommes ta3 sah mechi ta3 lkdéb
17,Wed Dec 13 15:10:11 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",إحترموا العائلات التونسية إلي تتفرج مع بعضها في رمضان 
18,Wed Dec 13 15:10:25 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"تشجعوا على الإنحلال الأخلاقي و مسلسلاتكم لا تمثلنا ,تفرجوا فيها وحدكم
19,Wed Dec 13 15:10:32 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",يا خماج يالي تفسدو في شباب المسلمين اتقوا الله الرحمان الرحيم رانا باش نتحاسبو
20,Wed Dec 13 15:10:36 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",فما ناس عاجبهم المسلسل برشا اللي عاجبو المسلسل يمشي يبعث امو و الا اختو تمثل غادي كان الدياثة و الفساد هذاك شكثر فيها تونس﻿
21,Wed Dec 13 15:10:36 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",+Lazhar Mnaasri او مسلم برا صلي يا نياك
 حتا وجك هاكا كي زبي﻿ برا فقس في الجامع عنديش وقت لعبد كيفك
22,Wed Dec 13 15:10:39 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",مسلسل هذا معرفتش وين باش يوصل لا فكرة و لا تمثيل و لا ممثلين
24,Wed Dec 13 15:10:45 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Ya sami ya masegh niktou tounes bwsa5kom  ma3adech mnajmin ntfarjou fi talfza 
25,Wed Dec 13 15:11:03 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",RT Stranger Things 13 Reasons Why Game of Th,@zyz09
26,Wed Dec 13 15:11:16 +0000 2017,with not,"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>",لعنة الله عليكم دعاة على ابواب جهنم﻿
27,Wed Dec 13 15:11:21 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",الله لو لا رحمت الله على عباده الموحدين ولاأستغفار بعض عباده الذين اجتبى لصلط الله علينا عذابا كما احله في الندونيسيا وغيرها من القرى الضالمه ,الا لعنة الله على القناة الفاسده والمديرها وسامي السطل واللهم لا تأخذنا بمافعل السفهاء منا﻿
28,Wed Dec 13 15:11:22 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ران بنتحاسبو يوخي هاد المسلسل حرام﻿
29,Wed Dec 13 15:11:24 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",وساخة و قذارة الحمد لله الواحد جاى يعيش في الخليج على الاقل يحترموا رمضان و عندهم الحق في اللي يقولوا فيه في تونس وسختونا يوسخ ايامكم و ربي ينزل عليكم عذابوا حاشى اللي ما يستاهل
30,Wed Dec 13 15:11:31 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ne9es ken bech ya3mel nika fewset lme ken fetamthil malhet ki heya ki o5tha mala fedenya chnwa hhhhh قذارا﻿
31,Wed Dec 13 15:11:34 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",بدا يمساط المسلسل! كي العادة سامي الفهري يبدا المسلسل و كي يرقب للنهاية يضيع الثنية و يتوه و ماعادش يعرف وين ماشي!! علاش ؟؟﻿
32,Wed Dec 13 15:11:40 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",مسلسل في قمة الانحطاط الاخلاقي احترمو الشهر الكريم فقط لا نريد احترام لينا
33,Wed Dec 13 15:11:47 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ملا تربية انا حاير في لعباد الي عجبهم المسلسل واش عجبهم فيه
34,Wed Dec 13 15:11:47 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Cette page a été créée pour lutter contre la violence et la déchéance de valeurs que véhicule la série télévisée "Awled Moufida". Merci de partager et d'inviter vos amis a se joindre a nous pour lutter contre la déchéance que veut nous imposer Sami el Fehri
35,Wed Dec 13 15:11:51 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",C'est choquant﻿
36,Wed Dec 13 15:11:53 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Par contre y'a des scènes dans awled moufida, tu peux pas regarder ça en famille c'est chaud :/
37,Wed Dec 13 15:11:55 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Mais Inès dans awled moufida elle a le rôle dla grosse pute
38,Wed Dec 13 15:12:00 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",مسلسل تع تمنييك وقحب حاشا الشهر الفضيل
39,Wed Dec 13 15:12:09 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",كان بدلوه بورنو خير
40,Wed Dec 13 15:12:17 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",الجربوع ابراهيم افشل ممثل فالمسلسل خاطيه التمثيل جمله فرخ ناتن﻿
41,Wed Dec 13 15:12:22 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",tawa brabi héth mousélsél mta3 romdhan -_- !! allah yahdik ya sami ya faséd !!﻿
42,Wed Dec 13 15:12:24 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",خايب برشا منعرفش كفاه خوتنا الدزيرية عاجبهم و الله غريبة
43,Wed Dec 13 15:12:35 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mala jabreya aka mariem :o﻿
44,Wed Dec 13 15:12:37 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",film sex tounsi hdou houlna fi ramthan
45,Wed Dec 13 15:12:43 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Brabi lien mouselsel sex Awled moufida
46,Wed Dec 13 15:12:43 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Sex : homme .travail: je ne travaille pas , je suis une princesse ..... احكي معاه تاوااااا
47,Wed Dec 13 15:12:45 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ايا توانسة كملوها بالنيك
48,Wed Dec 13 15:12:46 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",hhhhhhhhh wly mosh 3Ajbou wayedkpm hhhhhhhh﻿
49,Wed Dec 13 15:12:52 +0000 2017,with not,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",emotionss news star news amanie geha,@emotionssnews
50,Wed Dec 13 15:12:54 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"hada film irotik porno﻿
51,Wed Dec 13 15:12:57 +0000 2017,with not,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",مسلسل هذا يمثل العاصمة و ساحل و توانسة الحقيقين يتبرأون من هذه دعارة و التي لا تشرف البيت تونسي و لايتشرف الانسان ان يشاهده مع امه و اخته و ابوه ، تونسي في تطاوين و في قابس و مدنين و قفصة و توزر و القيروان ،،،، اصبح العالم يعرف عن شعب تونس سوى دعارة و رخص و حسبنا لله و نعم الوكيل﻿
52,Wed Dec 13 15:13:08 +0000 2017,with not,"<a href=""http://tapbots.com/tweetbot"" rel=""nofollow"">Tweetbot for iΟS</a>",الحجر يذوب و حسنة القحبة متوب﻿
53,Wed Dec 13 15:13:09 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ههههههههههههه سمحولي خوتي هدي صورة حقيقية لشعب التونسي لمفهمتهاش أنا هدا تتفرجوا فيه مع عائلتكم راكبكم الطحين خوي تنكت عليكم ههههههههههههه حريت التعبير زبي نسيتوا مدا 1 الإسلام دين الدولة الله بهديكم 1-2-3الجزائر إلي متي تبقا رفع وجهوا لكرف﻿
54,Wed Dec 13 15:13:09 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",zouze  fossed ijou 7eje ama akid fezde aussi ?!
55,Wed Dec 13 15:13:24 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",maryen ben chaban dawr 3ahra watikkk yeser a CPT dollarik ta7 w zed tou93ed f 7ejrooo VRT c nul﻿
56,Wed Dec 13 15:13:40 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"fasdouh bel ma97eb﻿
57,Wed Dec 13 15:14:01 +0000 2017,with not,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",hasna 9a7ba
58,Wed Dec 13 15:14:03 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ضرورى منه يا فهرى تحضر الواقع التونسي باش يتفرج عليه الباهي والشين ..كنت نتفرج عالمسلسل انا و زوجتي توا وقفت الحق﻿
59,Wed Dec 13 15:14:13 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"xnxx بابا دخل عليا للبيت يلقاني نتفرّج في اولاد مفيدة حشمت على روحي و حلّيت﻿
60,Wed Dec 13 15:14:22 +0000 2017,with not,"<a href=""http://www.google.com"" rel=""nofollow"">KhansadiaRetweet</a>",copié collé m'en série Ray Donovan 9alou fekret semi el fehri :p﻿
61,Wed Dec 13 15:14:35 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",خذاتلو السائل المنوي متاعو و سي زياد مش يحطو في ليليا بعد ما يقتلها    خطة في منتهى الذكاء   و فكرة سامي فهري بطبيعة  ..﻿
62,Wed Dec 13 15:14:35 +0000 2017,with not,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",sho haka l fara5 li wraha  ma t'hanna kaan ka7al 
63,Wed Dec 13 15:14:38 +0000 2017,with not,"<a href=""http://google.com"" rel=""nofollow"">RT App for Hamza</a>",etounsi mahelkou ken zebou﻿
64,Wed Dec 13 15:14:38 +0000 2017,with not,"<a href=""http://www.google.com"" rel=""nofollow"">HinaShahAliRT</a>",I NIN ZOK OMOK SAMI EL FE3RI LWE7ED 9A3ED TRANKIL M3 L3AYLA M3 L5CHECHER BARA FA3AM3OM CHNOU ILI FEL TERMOS﻿
65,Wed Dec 13 15:14:43 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",هذه تونس ومش هذا سامي الفهري الله غالب الناس تغيرت ويعرفو الي فمة فساد ومزالو يتمداو شيطان الله يلعنه اما سامي يا فاسد متجيج  مجتمعنا هذا الشباب فاسد ومكبوط فكر وجسد برافوووو سام
66,Wed Dec 13 15:14:44 +0000 2017,with not,"<a href=""http://www.ajaymatharu.com/"" rel=""nofollow"">Tweet Old Post</a>",ya3tikom bza3 3ala oujuhkom ye tuenssa ye mneykin!!!﻿
67,Wed Dec 13 15:14:45 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ya 97ab fdha7touna godem dziriya tfouhhhhh
68,Wed Dec 13 15:14:45 +0000 2017,with not,"<a href=""http://www.google.com"" rel=""nofollow"">SanyakaRTbot</a>",أولاد لماسيخ وعاهرات الشم
69,Wed Dec 13 15:14:48 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",سامي العهري و رمضان = فساد و قلة إحترام﻿
70,Wed Dec 13 15:14:48 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mofida 9a7ba hasna 9a7ba lilya 9a7ba el fermliyya o5t hak el miboun 9a7ba
71,Wed Dec 13 15:14:56 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>", وين راكم واصلين فتونس علابالي هاد الشىء عندكم نورمال بصح حتى هاذ الدرجة بزاف يصرو صوالح هك 
72,Wed Dec 13 15:15:05 +0000 2017,with not,"<a href=""http://www.labnol.org"" rel=""nofollow"">AhmedKhokhar KA RT </a>",يا بوقلب! زياد طلع أسقط منهم الكل! يا بوقلب ملا تكمبين وتخديم مخ! وعععععع﻿
73,Wed Dec 13 15:15:12 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",هذا موش أرهاب .. مايحاريوهش .. هذا فساد أخلاقي عادي .. ماتلومش الشباب التونسي أذا طلع للشعانبي .. ولا راح لليبيا ..﻿
74,Wed Dec 13 15:15:19 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",اين الاخلاق  منتج هذا المسلسل سيبقى في عنقه اثم كل من سيشاهده
75,Wed Dec 13 15:15:20 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ولات الحكاية بزق في ترموز يا سامي الفهري يا ميبون هههههه ايا حصيلو برا صحة ليك عطاك العاطي
76,Wed Dec 13 15:15:29 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","tala3a l'Badrou 3alaynaaa..."salutations d'Algérie bandes de pervers 
77,Wed Dec 13 15:15:33 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",baaaw a3lech haka 7chemt 3ala rou7i netfarej m3a baba chadetni 4asret el mout s7i7 baba esprit ama mouch laha edarja﻿
78,Wed Dec 13 15:15:40 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",أولاد مفيدة هو مواصلة للحداثة البورقيبية اللقيطة التي سعت و تسعى لفصل التونسيين عن قيم دينهم الاسلامي .. و تحويله إلى مجتمع / كارتي كبير يجد فيه كل شاذ عن فطرة الله ضالته لتحقيقها في تونس و تحويل شعبنا بسادته و مستضعفيه مجرد خدم في تسلية الشعوب الغربية و الشرقية و اصطفاؤهم بكل ما لذ و طاب في بلدي ...!!﻿
79,Wed Dec 13 15:15:42 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",7ala w fi romdhan chay bahi ngoulou chay hatha mawjoud mich lazem 5orej ala lbara hatha mosalsal tfarej alih rohik mich ahlik ma3k ala khater xxx﻿
80,Wed Dec 13 15:15:47 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Ya Sami el fehri omek el9a7ba 9olha raho weldik jablek essab mta3 10 mlayen twanssa﻿
81,Wed Dec 13 15:16:00 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",الجماعة لتنبرمش متاعنا و رمضان و عيب ياخي لتو لا تبتو و لتو لا عرفتو اللي هو مش متاع عايلة  و الا ماتنجموش تسلمو فالفرجة لا  و تلقاه يسب بكلام زايد  وحال موقع اباحي فيالباج الاخرى و يقلك مضان﻿
82,Wed Dec 13 15:16:05 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Kima gal balti walah : tounes bled da3ara etrem ou gellete lekhdem﻿
83,Wed Dec 13 15:16:06 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",sami el fehrii mlameed chleyiiik tounees el kool ama rakzouu fi bnetou rbeyya w a5lee9 la maquillage la 3raa la fdhayye7 ya3reeef kifeech yrabi 5ater hekom el chleyik chleyiik 3ala rwe7hoom wel afleem hekki 5edimtou howa yektiib el 5mmaj w ya9baadh flouus wentom e7isbou aaad ;)﻿
84,Wed Dec 13 15:16:09 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Ya bheyem mahou fama haja esmha preservative ou hajet kifen haka iwa3iiiiw ou la 7ye2a fedinnn plutot howa mousalsel moch mta3 sghar ou moch lel bheyem .
85,Wed Dec 13 15:16:27 +0000 2017,with not,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",3raftha wach9a﻿
86,Wed Dec 13 15:16:33 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Brazzers ما هذا يا نمي هذا البرنامج برعاية﻿
87,Wed Dec 13 15:16:37 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",allahe eya3ticom maseba le koolle menn chareke fe mousallselle woulade moufida ou nacher oi i5raje oi tsouire bearkate nabi salle allahe wa3li wasalm﻿
88,Wed Dec 13 15:16:38 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",إذا أصيب القوم في أخلاقهم ... فأقم عليهم مأتماً وعويلاً
89,Wed Dec 13 15:14:48 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",mofida 9a7ba hasna 9a7ba lilya 9a7ba el fermliyya o5t hak el miboun 9a7ba
90,Wed Dec 13 15:14:56 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>", هذي الحلقة برعاية PornHub﻿
91,Wed Dec 13 15:15:05 +0000 2017,with not,"<a href=""http://www.labnol.org"" rel=""nofollow"">AhmedKhokhar KA RT </a>",يا بوقلب! زياد طلع أسقط منهم الكل! يا بوقلب ملا تكمبين وتخديم مخ! وعععععع﻿
92,Wed Dec 13 15:15:12 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",franchement Sami el fehri  sawrelna bnet tounes el kol 9.......b elotef 3leh ? mouch hram 3lik ? mala fare5 hram ...mnin yla9et fihom  esle3 hethom?﻿
93,Wed Dec 13 15:15:19 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",ya zeby chbihom fel moussalssel elkolhom ya3rfou elli enssahom 97ab wi7ebou yab9ou mahom﻿
94,Wed Dec 13 15:15:20 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",eyed, ma yatlaz3 ken zebou fel termos gasethoulou﻿
95,Wed Dec 13 15:15:29 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",badr men hemla el hemla﻿
96,Wed Dec 13 15:15:33 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",bellehi chkounou el miboun eli 5araj el a7dath kol bara yna3n z*** fased 3lina el mouselsel﻿
97,Wed Dec 13 15:15:40 +0000 2017,with not,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",tfouuuh 3le zokkk omkom l9a7ba kamcha 97ab  ...!!﻿
98,Wed Dec 13 15:15:42 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",samiiii akber ta7na
100,Wed Dec 13 15:15:47 +0000 2017,with not,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",ouallah aal 7iiit aale5er mousalsel 5amej w sami lfehri 5amejj w lkolhom 5omeej naa3n taalla 3liikom ken jitou moslmiiin w taarfou rabyyy hedha mousalsel yetaada fi romdhannn  ...








