category,comment_text,created_time,source
negative,Reseau internet ta3eb yasser .,2017-12-27T21:37:59+0057,facebook
negative,Slm belahi rani ki nsob karta inahouli minha sold kifech najm na3ml bech ma3dch inahouli minha sold,2017-12-27T21:37:59+0058,facebook
negative,Brabi rizou ooredoo adh3if 3ala le5er chefouna 7al dima rizou tayai7,2017-12-27T21:37:59+0059,facebook
negative,Brabi elconexion 3andi faible 3ale5er fi sidi thabet chnouwa na3mel ???,2017-12-27T21:37:59+0060,facebook
negative,BRABI N7be na3arfe 3aleche ki nsabe dinare tjini 500,2017-12-27T21:37:59+0061,facebook
negative,No makomch a9wa rizo ana fi dar ma3ndich rizo w noskon fi 3asma,2017-12-27T21:37:59+0062,facebook
negative,Barbi chabi irisou mat3kom wal th3if barch 3ndi,2017-12-27T21:37:59+0063,facebook
negative,Brabi chofoli hakayit il coniksion,2017-12-27T21:37:59+0064,facebook
negative,3lech manal9ach connexion wena ndhali 3andi connexion  fi ooridoo,2017-12-27T21:37:59+0065,facebook
negative,Ana il conéxcion 3G dh3ifa,2017-12-27T21:37:59+0066,facebook
positive,Ooredooo????????????,2017-12-27T21:37:59+0067,facebook
positive,3echra m3a ooredoo manbvadelhach,2017-12-27T21:37:59+0068,facebook
negative,3ich wachba3 ser9a,2017-12-27T21:37:59+0069,facebook
negative,3ichouha wa7adkom,2017-12-27T21:37:59+0070,facebook
positive,nas kol 3achet b jawek w internetek,2017-12-27T21:37:59+0071,facebook
positive,ana dima 7obi w rafi9t darbi ooredoo dima m3ak,2017-12-27T21:37:59+0072,facebook
positive,ooredoo dima loula,2017-12-27T21:37:59+0073,facebook
positive,ana kol youm nsob dinar nal9a 600 ya5i chfama,2017-12-27T21:37:59+0074,facebook
negative,Berabi a3touni na hale rani ne9ouse meta3 chehar fi neharine te9ouse meta3 jeme3 nehar a3touni fekera berabi,2017-12-27T21:37:59+0075,facebook
positive,Ena orange echnowa ne3mel beche erodha ooredoo,2017-12-27T21:37:59+0076,facebook
positive,Hab na3mal clee interet limite za3ma mawjoud,2017-12-27T21:37:59+0077,facebook
negative,Chnowa lahkia n9s mta3 char toufa fi nharin,2017-12-27T21:37:59+0078,facebook
negative,ana bsara7a m3andich thi9a fi ooredoo,2017-12-27T21:37:59+0079,facebook
negative,Ooooo dima tisrig fi liflous mahi makalya chay dima nsob 5ooo nalga 2500 w ki nkalamhom yabdou ibaaliftou  w rodouk galit ken mouch il conection behya rani nahitha,2017-12-27T21:37:59+0080,facebook
positive,ooredoo a7sen chariket ettisalat fi tounes,2017-12-27T21:37:59+0081,facebook
negative,Chouti ya laila,2017-12-27T21:37:59+0082,facebook
negative,l kethb w taflim ,2017-12-27T21:37:59+0083,facebook
positive,3andkol connexion hbal,2017-12-27T21:37:59+0084,facebook
negative,ti win l internet l cnx dima dh3ifa,2017-12-27T21:37:59+0085,facebook
positive,te3jebni,2017-12-27T21:37:59+0086,facebook
negative,ya 4achach,2017-12-27T21:37:59+0087,facebook
positive,ooredoo ma9wiya kan fl internet,2017-12-27T21:37:59+0088,facebook
positive,Hhhhh mla ooredo,2017-12-27T21:37:59+0089,facebook
negative,ooredoo met7aylin,2017-12-27T21:37:59+0090,facebook
positive,Machlaha ooridoo  😈😇😉😯,2017-12-27T21:37:59+0091,facebook
positive,Oorrrrdddddoo ayche lenternt,2017-12-27T21:37:59+0092,facebook
positive,N7eb na3mal internet oreedoo brabi kifeh ema blech fixe rahou wn7eb bel 3am n5alas ou bien b 3 mois n7ebou may9osech kifeh?,2017-12-27T21:37:59+0093,facebook
negative,Bnj ena dima 3andi mochkol ken fe réseaux internet,2017-12-27T21:37:59+0094,facebook
negative,Brabbi 3lech win nsob tike i9osou 3liye 509,2017-12-27T21:37:59+0095,facebook
positive,Bravo ooredoo,2017-12-27T21:37:59+0096,facebook
positive,7obi ooredoo,2017-12-27T21:37:59+0097,facebook
positive,"3ayech l internet m chamal ila al janoub , chokran ooredoo",2017-12-27T21:37:59+0098,facebook
positive,Chekran ..ooredoo,2017-12-27T21:37:59+0099,facebook
positive,AHLA Ooredoo mahlekom bizo,2017-12-27T21:37:59+0100,facebook
negative,Chnia hal7ala fel ooredoo,2017-12-27T21:37:59+0101,facebook
negative,oredoo kn ser9a ena nkraha,2017-12-27T21:37:59+0102,facebook
negative,Ooredoo nuuuuul,2017-12-27T21:37:59+0103,facebook
positive,Nmoit 3lik y'a oredoo,2017-12-27T21:37:59+0104,facebook
positive,Ma7leh pub 3jibniii,2017-12-27T21:37:59+0105,facebook
negative,hata a7na 93adna ken fil jaw wil dhohek wiltaflim..........,2017-12-27T21:37:59+0106,facebook
negative,mamssekom,2017-12-27T21:37:59+0107,facebook
positive,ma7laha,2017-12-27T21:37:59+0108,facebook
negative,Bkoulha sar9a binasba lili,2017-12-27T21:37:59+0109,facebook
positive,ooredoo dima m3ak,2017-12-27T21:37:59+0110,facebook
positive,Bravo ooridoo,2017-12-27T21:37:59+0111,facebook
positive,Miya miya,2017-12-27T21:37:59+0112,facebook
positive,Wahdk ye oredoo,2017-12-27T21:37:59+0113,facebook
positive,Slt n7eb na3mel portabilite min orange il ooredoo kifeh ni5tar offre ili n7eb a3lih w offre 31 millime dispo wala,2017-12-27T21:37:59+0114,facebook
positive,risalet chokr l ooredoo ,2017-12-27T21:37:59+0115,facebook
negative,chbikom tesr9ou f cha3b ettounsi w tet7aylou 3lih,2017-12-27T21:37:59+0116,facebook
positive,Rabi maakom,2017-12-27T21:37:59+0117,facebook
positive,A7la Ooredoo fe denya????????,2017-12-27T21:37:59+0118,facebook
positive,O0rid0o.yamdalalna,2017-12-27T21:37:59+0119,facebook
positive,chokran 3ala 7osn l 5adamet,2017-12-27T21:37:59+0120,facebook
negative,Mouch shih ya hassra,2017-12-27T21:37:59+0121,facebook
positive,bravo ooredoo,2017-12-27T21:37:59+0122,facebook
negative,Gdech fama tama3a fi hal bled ti ooredoo hiya tsre9 fikom tam3in ttrba7kom hhhh gdkomch zwawla fi am5a5kom,2017-12-27T21:37:59+0123,facebook
positive,in7eb ooredoo Wa ana zaboun wafi lah Wa piisati klha ooredoo walhi n7eki bl7ek wanchlh narb7,2017-12-27T21:37:59+0124,facebook
